"HSE Health Region","Age group","Male","Female"
"All regions","18 - 24 years",4315,2350
"All regions","25 - 39 years",5408,3687
"All regions","40 - 59 years",6993,6342
"All regions","60 - 69 years",3052,2970
"All regions","70 years and over",1479,1689
"Dublin and North East","18 - 24 years",915,490
"Dublin and North East","25 - 39 years",1116,742
"Dublin and North East","40 - 59 years",1526,1471
"Dublin and North East","60 - 69 years",775,747
"Dublin and North East","70 years and over",264,372
"Dublin and Midlands","18 - 24 years",869,457
"Dublin and Midlands","25 - 39 years",1015,637
"Dublin and Midlands","40 - 59 years",1173,932
"Dublin and Midlands","60 - 69 years",434,401
"Dublin and Midlands","70 years and over",193,269
"Dublin and South East","18 - 24 years",784,429
"Dublin and South East","25 - 39 years",1040,740
"Dublin and South East","40 - 59 years",1560,1250
"Dublin and South East","60 - 69 years",726,582
"Dublin and South East","70 years and over",444,352
"South West","18 - 24 years",836,458
"South West","25 - 39 years",1040,603
"South West","40 - 59 years",1044,933
"South West","60 - 69 years",415,425
"South West","70 years and over",270,287
"Mid West","18 - 24 years",277,152
"Mid West","25 - 39 years",361,335
"Mid West","40 - 59 years",580,617
"Mid West","60 - 69 years",264,267
"Mid West","70 years and over",105,128
"West and North West","18 - 24 years",634,364
"West and North West","25 - 39 years",836,630
"West and North West","40 - 59 years",1110,1139
"West and North West","60 - 69 years",438,548
"West and North West","70 years and over",203,281
