Year,All admissions,First admissions,Re-admissions
1965,15440,6210,9230
1966,16526,6676,9850
1967,17607,6927,10680
1968,18953,7284,11669
1969,19697,7652,12045
1970,20342,7696,12646
1971,21351,8058,13293
1972,22964,8598,14366
1973,24036,9018,15018
1974,24964,8914,16050
1975,25892,8873,17019
1976,26434,8939,17495
1977,26385,8788,17597
1978,27662,8678,18984
1979,27358,8631,18727
1980,27098,8459,18639
1981,28685,8480,20205
1982,28778,8702,20076
1983,28397,8415,19982
1984,28830,8749,20081
1985,29082,8441,20641
1986,29392,8251,21141
1987,27856,7934,19922
1988,28432,8074,20358
1989,27250,7530,19720
1990,27765,7577,20188
1991,27913,7949,19964
1992,27148,7443,19705
1993,27005,7311,19694
1994,26687,7132,19555
1995,26440,7246,19194
1996,26656,7130,19526
1997,25985,6978,19007
1998,25238,7095,18143
1999,25062,7105,17957
2000,24282,7290,16992
2001,24446,7301,17146
2002,23677,7060,16617
2003,23031,6656,16375
2004,22400,6168,16232
2005,21253,5917,15336
2006,20288,5601,14687
2007,20769,5853,14916
2008,20752,6194,14558
2009,20195,5972,14223
2010,19619,6266,13353
2011,18992,6129,12863
2012,18173,6130,12043
2013,18457,6055,12402
2014,17797,5942,11855
2015,17860,6114,11746
2016,17290,6097,11193
2017,16743,5905,10838
2018,17000,6039,10961
2019,16710,,
2020,15391,5694,9697
2021,15723,5758,9965
2022,15790,5412,10378
2023,15631,5838,9793
2024,15578,5706,9872
