Year,All admissions,First admissions
1965,535,215
1966,573,232
1967,611,240
1968,657,252
1969,683,263
1970,705,267
1971,740.3,279.4
1972,796.2,298.1
1973,833.4,312.6
1974,838.2,299.3
1975,869.3,297.9
1976,887.5,300.1
1977,885.9,295
1978,928.8,291.3
1979,812.1,256.2
1980,804.4,251.1
1981,851.5,251.7
1982,854.3,258.3
1983,824.6,244.3
1984,837.2,254
1985,844.5,245.1
1986,853.5,239.6
1987,809,230.4
1988,825.6,234.4
1989,769.6,212.7
1990,784.2,214
1991,788.4,224.5
1992,766.8,210.2
1993,762.7,206.5
1994,753.7,201.4
1995,749.9,205.5
1996,756,202.2
1997,716.6127012396558,192.4388466134431
1998,696.0119820622064,195.6654652797906
1999,691.1582650940256,195.94124465298268
2000,669.6474739850423,201.04316305703642
2001,674.1702557053926,201.3465203675477
2002,652.9628219069207,194.70023747361827
2003,587.9450209754256,169.91715772708233
2004,571.8365885046039,157.45928919180344
2005,542.5554917628726,151.0516559902563
2006,478.50772008807866,132.1037924001049
2007,489.9,138
2008,489.5,146.1
2009,476.3,140.9
2010,462.7,147.8
2011,413.9266980104842,133.5802828615342
2012,396.1,133.6
2013,402.3,132
2014,387.9,129.5
2015,389.3,133.3
2016,376.8,132.9
2017,351.6,124
2018,357,126.8
2019,350.9,110.8
2020,323.2,119.6
2021,330.2,120.9
2022,331.6,113.7
2023,303.6,113.4
2024,302.5,110.8
