Primary admission diagnosis,Male,Female
Depressive Disorders,1642,1850
"Schizophrenia, Schizotypal and Delusional Disorders",1850,1246
Other and Unspecified,1393,1209
Anxiety or fear-related disorders/OCD/stress-related disorders,644,880
Bipolar Disorders,655,829
Personality and Behavioural Disorders,380,872
Other Drug Disorders,617,243
Alcohol-related Disorders,403,293
Organic Mental Disorders,132,151
Eating Disorders,11,149
Development Disorders,42,28
Intellectual Disability,15,19
Behavioural and Emotional Disorders of Childhood and Adolescence,16,9
